               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097047,            0.020817,             0.04479,                   0,                   0,                   0,                   0,            0.085998,            0.014665,            0.043405,            0.070107,           0.0033214,           0.0033214
                   1,            0.079755,            0.021715,            0.042873,          9.7857e-06,           0.0022059,          5.5297e-06,          1.7302e-06,             0.11586,            0.024816,            0.043687,            0.040047,           0.0065949,           0.0065949
                   2,            0.060818,            0.018956,            0.042139,             0.24347,            0.041993,            0.003517,           0.0016787,            0.095627,            0.016821,            0.042207,           0.0099274,           0.0098083,           0.0098083
                   3,            0.046548,            0.013766,             0.04187,             0.28751,             0.37794,            0.044085,            0.030375,            0.057441,           0.0094695,            0.041906,             0.00973,             0.00973,             0.00973
                   4,            0.037219,            0.011314,            0.041807,             0.28423,             0.15882,            0.023049,            0.015602,            0.086109,           0.0097517,            0.042087,             0.00973,             0.00973,             0.00973
                   5,            0.032548,           0.0098087,            0.041711,             0.28778,             0.56425,            0.062192,            0.047687,            0.021267,            0.010168,            0.041759,             0.00964,             0.00964,             0.00964
                   6,            0.029081,           0.0087526,            0.041755,            0.058027,             0.73036,            0.065087,            0.052714,            0.019862,           0.0089047,            0.041797,             0.00955,             0.00955,             0.00955
                   7,            0.026592,           0.0081967,            0.041706,             0.28626,              0.7375,            0.071243,            0.060288,            0.014583,           0.0046719,            0.041727,             0.00946,             0.00946,             0.00946
                   8,            0.025223,           0.0076773,            0.041679,               0.285,             0.57132,            0.057408,             0.04735,            0.029194,           0.0071419,            0.041738,             0.00937,             0.00937,             0.00937
                   9,            0.023803,           0.0071725,             0.04165,             0.28959,             0.72941,            0.071015,            0.060341,            0.013902,           0.0050046,            0.041704,             0.00928,             0.00928,             0.00928
                  10,            0.022868,           0.0068897,            0.041678,             0.28988,             0.74124,            0.072267,            0.065611,            0.010311,           0.0040447,            0.041667,             0.00919,             0.00919,             0.00919
                  11,            0.022095,            0.006806,            0.041685,             0.28973,             0.76103,            0.074176,            0.067937,           0.0088271,           0.0036833,            0.041683,              0.0091,              0.0091,              0.0091
                  12,            0.021049,           0.0064592,            0.041653,             0.28703,             0.75809,            0.075156,            0.068743,           0.0095113,           0.0035082,            0.041689,             0.00901,             0.00901,             0.00901
                  13,            0.020658,           0.0064021,            0.041681,             0.28558,             0.76471,            0.079855,            0.074001,           0.0084919,            0.004378,            0.041628,             0.00892,             0.00892,             0.00892
                  14,            0.019983,           0.0062218,            0.041631,             0.29023,             0.72426,            0.073234,            0.067093,            0.010795,           0.0040149,            0.041642,             0.00883,             0.00883,             0.00883
                  15,            0.019666,           0.0060706,            0.041662,             0.28997,              0.7625,            0.084997,            0.080468,           0.0077083,           0.0028006,            0.041599,             0.00874,             0.00874,             0.00874
                  16,            0.018694,           0.0057962,            0.041639,             0.28874,             0.75074,            0.082429,            0.075911,            0.008593,           0.0034085,            0.041598,             0.00865,             0.00865,             0.00865
                  17,            0.018388,           0.0056418,            0.041606,             0.23802,             0.76575,             0.08994,             0.08481,           0.0070418,           0.0026237,             0.04152,             0.00856,             0.00856,             0.00856
                  18,            0.017998,           0.0055267,            0.041638,             0.28986,             0.75882,            0.091389,            0.085742,           0.0073954,           0.0030879,            0.041475,             0.00847,             0.00847,             0.00847
                  19,            0.017903,           0.0055269,            0.041651,             0.29007,             0.74251,            0.087705,            0.081098,           0.0091892,           0.0034876,            0.041468,             0.00838,             0.00838,             0.00838
                  20,            0.017372,           0.0054412,            0.041589,             0.16917,             0.76938,             0.10964,             0.10386,           0.0066363,           0.0024481,            0.041351,             0.00829,             0.00829,             0.00829
