               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084602,            0.020559,            0.058785,           0.0026259,             0.66991,            0.012212,           0.0055954,            0.050602,           0.0090679,            0.049569,            0.070047,           0.0033281,           0.0033281
                   1,            0.046834,            0.013269,              0.0567,           0.0022362,              0.7592,            0.013266,           0.0085308,            0.031243,            0.023867,            0.048325,            0.039987,           0.0066015,           0.0066015
                   2,            0.032578,           0.0097179,            0.055704,             0.80198,             0.05859,            0.029499,            0.021438,            0.034069,            0.010923,             0.04778,           0.0098673,           0.0098148,           0.0098148
                   3,            0.023826,           0.0076985,            0.054024,             0.47029,              0.2525,             0.12028,             0.10747,            0.009029,           0.0027371,            0.044925,             0.00973,             0.00973,             0.00973
                   4,            0.020575,           0.0067349,            0.051032,              0.1389,             0.41992,             0.15274,             0.14241,           0.0073203,           0.0022149,            0.041412,             0.00973,             0.00973,             0.00973
                   5,            0.019025,           0.0061909,            0.047816,             0.23266,             0.49242,             0.16611,             0.15819,           0.0063998,           0.0017813,             0.03949,             0.00964,             0.00964,             0.00964
                   6,            0.017914,           0.0059077,            0.045332,             0.23102,             0.65133,             0.20689,             0.19635,           0.0063791,           0.0017391,            0.036559,             0.00955,             0.00955,             0.00955
                   7,            0.017441,           0.0057536,            0.042638,             0.17543,             0.75711,             0.26922,             0.26339,           0.0054298,           0.0015652,            0.033627,             0.00946,             0.00946,             0.00946
                   8,            0.017307,           0.0056355,            0.039036,             0.18843,             0.89894,             0.31461,             0.30825,           0.0054623,           0.0015458,             0.02892,             0.00937,             0.00937,             0.00937
                   9,            0.016966,           0.0054363,            0.036005,             0.21821,             0.90111,             0.36643,             0.36083,            0.004984,           0.0014468,             0.02681,             0.00928,             0.00928,             0.00928
                  10,            0.016765,           0.0053515,            0.033938,             0.25613,             0.88647,             0.39076,             0.38516,           0.0049146,           0.0014258,             0.02521,             0.00919,             0.00919,             0.00919
                  11,            0.016454,           0.0052995,            0.032294,             0.24989,             0.83202,             0.38334,             0.37924,           0.0045572,           0.0013757,            0.024116,              0.0091,              0.0091,              0.0091
                  12,            0.016067,           0.0051489,            0.030621,             0.25819,             0.86171,             0.39095,             0.38776,           0.0041626,           0.0012394,            0.023469,             0.00901,             0.00901,             0.00901
                  13,            0.016069,           0.0050957,            0.029222,             0.35376,             0.75752,             0.50833,             0.50449,           0.0042172,           0.0012286,            0.021033,             0.00892,             0.00892,             0.00892
                  14,            0.016247,           0.0050798,            0.027079,             0.44905,             0.84609,             0.63501,             0.63104,           0.0040783,           0.0011962,            0.018075,             0.00883,             0.00883,             0.00883
