               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087959,            0.029977,            0.099253,                   0,                   0,                   0,                   0,            0.069529,            0.022732,             0.09611,            0.070116,           0.0033204,           0.0033204
                   1,            0.060475,            0.022384,            0.095683,           0.0032533,             0.90299,            0.011741,           0.0039748,            0.047709,            0.021086,            0.094848,             0.04005,           0.0065879,           0.0065879
                   2,            0.045195,             0.01604,            0.094269,           0.0037959,             0.88514,            0.021363,            0.013517,            0.035197,            0.023968,            0.092967,           0.0099185,           0.0097893,           0.0097893
                   3,            0.035547,            0.012619,            0.092012,             0.43892,            0.069069,            0.048667,            0.031462,            0.027583,            0.013119,             0.09095,            0.009703,            0.009703,            0.009703
                   4,             0.02934,            0.010498,            0.088956,             0.24101,             0.23998,            0.085081,            0.067044,            0.017358,           0.0065647,            0.085557,            0.009703,            0.009703,            0.009703
                   5,            0.026053,           0.0095309,             0.08429,            0.087474,             0.37807,             0.11631,            0.091004,            0.015994,           0.0057063,            0.080409,            0.009604,            0.009604,            0.009604
                   6,            0.024722,           0.0089037,            0.078771,            0.086041,             0.62915,              0.1364,             0.11162,             0.01554,           0.0060762,            0.073615,            0.009505,            0.009505,            0.009505
                   7,            0.023523,           0.0082973,            0.073358,             0.10303,             0.60176,             0.17919,              0.1466,            0.015427,           0.0050089,            0.069567,            0.009406,            0.009406,            0.009406
                   8,            0.022391,           0.0079354,            0.069871,             0.11524,             0.58194,             0.18944,             0.15887,            0.013642,           0.0047664,            0.066505,            0.009307,            0.009307,            0.009307
                   9,            0.021277,           0.0076205,            0.068063,              0.1769,             0.39175,             0.21234,             0.18187,            0.011927,           0.0045584,            0.065339,            0.009208,            0.009208,            0.009208
                  10,            0.020342,           0.0073742,            0.066768,             0.18214,             0.37194,             0.21501,             0.18843,            0.011159,           0.0041921,            0.064546,            0.009109,            0.009109,            0.009109
                  11,            0.019575,           0.0071538,            0.065363,             0.21493,             0.39752,             0.25541,             0.22232,            0.011283,            0.004062,            0.062345,             0.00901,             0.00901,             0.00901
                  12,            0.019329,           0.0069101,            0.064095,             0.23066,             0.53256,             0.27748,             0.24037,            0.012079,           0.0039794,            0.060027,            0.008911,            0.008911,            0.008911
                  13,            0.019073,           0.0069413,            0.062552,             0.21965,             0.57579,             0.30216,             0.26876,            0.010634,           0.0040357,            0.058608,            0.008812,            0.008812,            0.008812
                  14,            0.018359,           0.0066812,            0.061126,             0.22801,             0.64582,             0.31177,             0.27902,            0.010914,           0.0040051,            0.057523,            0.008713,            0.008713,            0.008713
