               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0731,             0.02614,            0.096413,            0.006195,             0.97321,             0.03772,            0.023111,            0.027946,           0.0096089,            0.078024,            0.070032,           0.0033298,           0.0033298
                   1,            0.036331,            0.013722,            0.087996,              0.2495,             0.15352,            0.071367,            0.056844,            0.016193,            0.005786,            0.070325,            0.039966,           0.0065972,           0.0065972
                   2,            0.030766,            0.010746,            0.077267,             0.28761,             0.40287,             0.15823,             0.11044,            0.020969,           0.0056659,            0.059949,           0.0098336,           0.0097986,           0.0097986
                   3,            0.026024,           0.0090606,            0.066018,             0.23582,             0.55896,             0.36017,              0.3074,            0.012086,            0.003403,            0.047669,            0.009703,            0.009703,            0.009703
                   4,            0.023864,           0.0083299,            0.052471,             0.50888,             0.78496,             0.67082,             0.59289,            0.011261,           0.0033135,            0.032414,            0.009703,            0.009703,            0.009703
                   5,            0.023025,           0.0079413,             0.04115,             0.65961,             0.84218,             0.79542,             0.72162,            0.010406,           0.0031193,            0.026001,            0.009604,            0.009604,            0.009604
                   6,            0.022182,           0.0076235,            0.034963,             0.76856,             0.90273,             0.89297,             0.83819,            0.009119,           0.0027082,            0.019152,            0.009505,            0.009505,            0.009505
                   7,            0.021282,           0.0073522,            0.030752,             0.80842,             0.91619,             0.91519,             0.85685,           0.0089401,           0.0026498,             0.01633,            0.009406,            0.009406,            0.009406
                   8,            0.020472,           0.0071438,            0.027557,              0.8355,             0.90619,             0.93186,              0.8863,           0.0082046,           0.0025622,            0.015721,            0.009307,            0.009307,            0.009307
                   9,            0.019877,           0.0069695,            0.024105,             0.91973,             0.96074,             0.97059,             0.94072,           0.0072813,           0.0023464,            0.010824,            0.009208,            0.009208,            0.009208
                  10,            0.019411,           0.0068331,            0.022349,               0.953,             0.96943,             0.98382,             0.95856,           0.0071375,           0.0022905,           0.0080706,            0.009109,            0.009109,            0.009109
                  11,            0.019076,            0.006737,            0.020637,             0.97701,             0.97857,             0.99055,             0.97113,           0.0066429,           0.0021986,           0.0073612,             0.00901,             0.00901,             0.00901
                  12,             0.01859,           0.0065918,             0.01855,              0.9852,              0.9815,             0.99254,             0.97705,           0.0061904,            0.002096,           0.0061354,            0.008911,            0.008911,            0.008911
                  13,            0.018344,           0.0064654,            0.017377,             0.98507,             0.98264,             0.99323,             0.98459,           0.0056089,           0.0020097,           0.0051296,            0.008812,            0.008812,            0.008812
                  14,            0.018028,           0.0063707,            0.015994,              0.9863,             0.98611,             0.99297,             0.98486,           0.0053826,           0.0019454,           0.0044032,            0.008713,            0.008713,            0.008713
                  15,            0.017455,           0.0062441,             0.01542,             0.98378,             0.98529,             0.99319,             0.98761,           0.0050424,           0.0018679,           0.0041493,            0.008614,            0.008614,            0.008614
                  16,            0.017106,           0.0060568,            0.014889,             0.99428,             0.99498,             0.99468,             0.98986,           0.0047925,           0.0018051,           0.0032059,            0.008515,            0.008515,            0.008515
                  17,            0.016877,            0.006052,            0.014191,             0.99671,             0.99467,             0.99469,             0.99099,           0.0045708,           0.0017447,           0.0031653,            0.008416,            0.008416,            0.008416
                  18,             0.01655,           0.0059416,            0.013471,              0.9963,              0.9961,             0.99477,             0.99219,           0.0043373,           0.0016807,           0.0028039,            0.008317,            0.008317,            0.008317
                  19,            0.016326,           0.0058507,            0.012837,             0.99567,             0.99443,             0.99463,             0.99225,           0.0041738,           0.0016314,           0.0027021,            0.008218,            0.008218,            0.008218
                  20,              0.0161,           0.0057594,              0.0127,             0.99735,             0.99663,              0.9948,             0.99244,           0.0041102,           0.0015967,           0.0024419,            0.008119,            0.008119,            0.008119
                  21,            0.016027,           0.0057212,            0.012586,             0.99744,             0.99711,             0.99473,             0.99285,           0.0040125,           0.0015773,           0.0022116,             0.00802,             0.00802,             0.00802
                  22,            0.015726,           0.0056655,            0.012017,             0.99712,             0.99628,             0.99473,             0.99357,           0.0038787,           0.0015146,           0.0022188,            0.007921,            0.007921,            0.007921
                  23,            0.015363,           0.0055876,            0.012037,             0.99769,              0.9965,             0.99475,              0.9935,           0.0037575,            0.001496,           0.0021332,            0.007822,            0.007822,            0.007822
                  24,            0.015351,           0.0055821,            0.011815,             0.99769,             0.99727,             0.99481,             0.99374,           0.0036391,           0.0014747,           0.0019649,            0.007723,            0.007723,            0.007723
                  25,            0.015234,           0.0055354,             0.01133,             0.99802,              0.9974,             0.99482,             0.99374,           0.0035931,           0.0014672,           0.0017586,            0.007624,            0.007624,            0.007624
