               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084317,             0.03062,            0.073829,          0.00012807,           0.0022059,          6.5351e-05,          1.2195e-05,            0.068225,            0.024077,            0.071777,            0.070107,           0.0033214,           0.0033214
                   1,            0.067174,            0.031388,            0.070707,           0.0022698,             0.43824,            0.006234,           0.0021821,            0.070583,            0.028554,            0.069886,            0.040041,           0.0065889,           0.0065889
                   2,            0.047888,            0.021909,             0.06987,             0.28563,             0.14399,            0.032603,            0.017922,            0.048175,            0.021978,            0.069726,           0.0099094,           0.0097903,           0.0097903
                   3,            0.033798,            0.013753,             0.06957,             0.28951,             0.57767,            0.067174,            0.041107,            0.032415,            0.012885,            0.069414,            0.009703,            0.009703,            0.009703
                   4,            0.026302,            0.010424,            0.069395,             0.17132,             0.70588,            0.084871,            0.067492,            0.017577,           0.0074566,            0.069095,            0.009703,            0.009703,            0.009703
                   5,             0.02233,           0.0088824,            0.069113,             0.16875,             0.42279,            0.064763,            0.051106,            0.041565,            0.013257,            0.069046,            0.009604,            0.009604,            0.009604
                   6,            0.020209,           0.0081573,            0.068591,              0.2005,             0.48851,             0.13021,              0.1112,            0.011305,           0.0045931,            0.067236,            0.009505,            0.009505,            0.009505
                   7,            0.018548,           0.0073515,             0.06762,             0.14623,             0.31114,             0.15892,             0.14113,            0.010139,            0.004882,            0.065921,            0.009406,            0.009406,            0.009406
                   8,            0.017293,           0.0069085,            0.066136,             0.25034,             0.41522,             0.16207,             0.14169,            0.016881,           0.0081973,              0.0648,            0.009307,            0.009307,            0.009307
                   9,            0.017272,           0.0068908,             0.06299,             0.17587,             0.57865,             0.22874,             0.20887,           0.0092121,           0.0041517,            0.059417,            0.009208,            0.009208,            0.009208
                  10,            0.016619,           0.0066586,            0.060463,             0.18969,             0.67647,             0.25522,             0.23065,           0.0087892,           0.0046718,             0.05842,            0.009109,            0.009109,            0.009109
                  11,            0.015846,           0.0064049,            0.058314,             0.28969,             0.55094,             0.32371,             0.29723,           0.0082818,           0.0039079,            0.053195,             0.00901,             0.00901,             0.00901
                  12,            0.015717,           0.0063194,            0.056493,              0.2853,             0.54307,             0.39311,             0.35555,           0.0081761,           0.0041411,            0.050901,            0.008911,            0.008911,            0.008911
                  13,            0.015754,           0.0062814,            0.054127,             0.36681,             0.48054,             0.37412,             0.33453,            0.010573,           0.0048769,            0.051997,            0.008812,            0.008812,            0.008812
                  14,            0.015674,           0.0062468,            0.051455,             0.36618,             0.66809,             0.49128,             0.44855,            0.008336,           0.0037772,              0.0455,            0.008713,            0.008713,            0.008713
                  15,            0.015545,           0.0062534,            0.048879,             0.41326,             0.69688,             0.54622,             0.49983,           0.0082051,            0.003659,             0.04267,            0.008614,            0.008614,            0.008614
                  16,            0.015474,           0.0061964,            0.046463,             0.47335,             0.72362,             0.61001,             0.55719,           0.0087086,           0.0038003,            0.037533,            0.008515,            0.008515,            0.008515
                  17,            0.015622,           0.0061769,            0.044136,             0.57487,             0.73028,             0.70261,             0.64692,           0.0087155,           0.0036556,            0.033704,            0.008416,            0.008416,            0.008416
                  18,            0.015654,           0.0061336,             0.04093,             0.60005,             0.77554,             0.75193,             0.69982,           0.0081142,           0.0037249,            0.030609,            0.008317,            0.008317,            0.008317
                  19,            0.015479,           0.0060385,            0.038912,             0.65814,             0.75682,             0.75928,             0.70639,           0.0085709,           0.0036315,            0.028292,            0.008218,            0.008218,            0.008218
                  20,            0.015412,            0.006056,            0.037011,             0.71692,             0.80651,             0.79932,             0.73832,           0.0084697,           0.0035411,            0.026292,            0.008119,            0.008119,            0.008119
                  21,            0.015403,           0.0059221,            0.034567,             0.73958,             0.84911,               0.833,             0.78016,           0.0078548,           0.0034387,             0.02191,             0.00802,             0.00802,             0.00802
